sigma_hat,nearest,linear,clough-tocher,gaussian
1.0,0.0003656410068400202,0.00024209462240694826,0.00042376534267848546,0.0009744143336085815
10.0,0.00036566601201266734,0.00024211597564106102,0.0004248585899314509,0.0009744875744150788
100.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
1000.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
10000.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
100000.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
0.1,0.0003633729590595589,0.00024024362428529074,0.0004211329579638781,0.0009714306850924386
20.0,0.00036707873196912036,0.00024382377386063264,0.0004248587994433415,0.000981774439494024
30.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
40.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
22.0,0.0003670787426414554,0.00024382378256439813,0.0004248588117070885,0.000981774453842856
24.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744647730288
26.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744733102126
28.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
25.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744692972605
27.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744768919239
23.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744596658641
23.5,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744623026375
27.5,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744785397082
22.5,0.0003670787448852326,0.0002438237843945631,0.0004708078826246628,0.0009817744568494842
22.75,0.00042043845827034493,0.00024382378526311763,0.0004708078826246628,0.0009817744582804433
27.75,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744793309332
22.25,0.00036707874378242076,0.0002438237834933901,0.0004708078826246628,0.0009817744553673262
2.0,0.00036566031879998025,0.00024210907377498475,0.0004237867224275987,0.0009744376138738703
4.0,0.0003656647650336276,0.00024211496117274175,0.00042379185355254876,0.0009744859382481884
6.0,0.0003656655891166113,0.00024211563143399303,0.00042379280431482057,0.0009744870195342155
8.0,0.00036566587800669804,0.00024211586657177283,0.0004237931373149905,0.0009744873985466497
12.0,0.0003670786238714216,0.00024382368571473375,0.00042485867511686705,0.000974487670128947
14.0,0.0003670786685730881,0.00024382372216497702,0.00042485872653991337,0.0009744877279350236
16.0,0.0003670786976399344,0.00024382374586667417,0.00042485875996497335,0.0009817743930705944
18.0,0.0003670787176213778,0.00024382376216502676,0.0004248587829443752,0.0009817744201236305
0.01,0.0002793771699793958,0.0001677797747138614,0.00032226551116492307,0.0008763409334494224
0.5,0.0003655700374913524,0.00024203689062751054,0.00042368340274777177,0.0009743213204934515
9.0,0.0003656659561026307,0.00024211593004340166,0.0004237932273177375,0.0009744875010261678
11.0,0.00036707859187190317,0.0002438236596157535,0.00042485863830883164,0.0009744876287509627
15.0,0.00036707868454934355,0.00024382373519238947,0.0004248587449119009,0.000981774375320348
